phrase,stage,freq,success,success_rate
Do you have a primary care doctor that you would like to check on for network participation?,Needs Analysis,7,6,0.857142857
Do you wear prescription glasses?,Needs Analysis,7,6,0.857142857
Do you wear glasses?,Needs Analysis,7,5,0.714285714
Do you make all of your own health care decisions?,Needs Analysis,7,2,0.285714286
Do you have a primary care doctor that you would like me to check for network participation?,Needs Analysis,6,6,1.0
"Have you recently lost, or are you losing any employer, union, or COBRA coverage?",Needs Analysis,6,4,0.666666667
Do you currently have someone that helps you make your health care decisions?,Needs Analysis,6,3,0.5
"Do you receive any military benefits like VA, TRICARE, or CHAMPVA?",Needs Analysis,6,2,0.333333333
What county are you in?,Needs Analysis,6,1,0.166666667
Would you fall under any of those?,Needs Analysis,6,1,0.166666667
What benefits would you like to improve?,Needs Analysis,6,1,0.166666667
Are you currently a resident in a nursing home or long term care facility?,Needs Analysis,5,5,1.0
Are you seeing a lot of doctors right now throughout the year?,Needs Analysis,5,5,1.0
Do you need transportation to get back and forth to your doctor's visits?,Needs Analysis,5,5,1.0
What pharmacy do you use?,Needs Analysis,5,4,0.8
Do you see the doctors often?,Needs Analysis,5,3,0.6
Are you looking to upgrade your benefits or save some money or both?,Needs Analysis,5,3,0.6
"Do you have any coverage through an employer, a union, TRICARE, or the VA?",Needs Analysis,5,3,0.6
Would any of those apply to you?,Needs Analysis,5,3,0.6
Do you know if you receive any extra help or Medicaid?,Needs Analysis,5,2,0.4
How's that plan been working out for you so far?,Needs Analysis,5,2,0.4
"Have you recently lost or losing any employer, union, or COBRA coverage?",Needs Analysis,5,2,0.4
"Do you happen to be residing in a nursing home, assisted living facility, or a long term care facility?",Needs Analysis,5,2,0.4
What's the one main thing that you like about it?,Needs Analysis,5,2,0.4
"Do you have any coverage through employer, union, TRICARE, or the VA?",Needs Analysis,5,1,0.2
Are you part of the PACE program or the pharmaceutical assistance program?,Needs Analysis,5,1,0.2
Do you have any healthcare concerns?,Needs Analysis,5,1,0.2
Are you still taking these medications?,Needs Analysis,4,4,1.0
Do you need any kind of dental work?,Needs Analysis,4,4,1.0
Do you take any insulins for diabetes?,Needs Analysis,4,4,1.0
Do you have a primary care doctor that we need to look up?,Needs Analysis,4,4,1.0
Are you still able to make your own health care decisions?,Needs Analysis,4,4,1.0
Do you have a primary care doctor?,Needs Analysis,4,4,1.0
Do you want to specify your race and ethnicity?,Needs Analysis,4,4,1.0
Are there any hospitals that you'd like me to check for network participation?,Needs Analysis,4,4,1.0
Do you have a preferred primary care physician?,Needs Analysis,4,4,1.0
Do you have a primary care doctor that you'd like to check on for network participation?,Needs Analysis,4,3,0.75
How often would you say you go to the doctors or receive medical care in a year?,Needs Analysis,4,2,0.5
Do you have any coverage through a past employer or union?,Needs Analysis,4,2,0.5
"For your current insurance, do you have any coverage through employer, union, TRICARE, or the VA?",Needs Analysis,4,2,0.5
"Do you have any coverage through a employer, union, TRICARE, or the VA?",Needs Analysis,4,2,0.5
"Do you have any coverage right now through, like, an old employer or union?",Needs Analysis,4,2,0.5
What are some of the important benefits that you are using with your Medicare?,Needs Analysis,4,1,0.25
Are you in a nursing home or assisted living facility?,Needs Analysis,4,1,0.25
"Do you have any benefits from, like, an old employer, union, or military?",Needs Analysis,4,1,0.25
Do you have any healthcare concerns we should address?,Needs Analysis,4,0,0.0
What benefits are most important to you?,Needs Analysis,4,0,0.0
What would you say you need or you need more of?,Needs Analysis,4,0,0.0
Do you have any specific benefits you are looking for?,Needs Analysis,4,0,0.0
Do you have full Medicaid?,Needs Analysis,4,0,0.0
What benefits were you looking to improve for this year?,Needs Analysis,4,0,0.0
Do you have any healthcare needs we should consider?,Needs Analysis,4,0,0.0
How often do you go to the doctor?,Needs Analysis,3,3,1.0
"Are there any other doctors, like specialists or dentists, that we need to look up?",Needs Analysis,3,3,1.0
Do you get any medical benefits from a current or past employer?,Needs Analysis,3,3,1.0
Do you or a spouse receive any medical benefits from an employer or union group?,Needs Analysis,3,3,1.0
How many times do you see your family doctor each year?,Needs Analysis,3,3,1.0
How often would you say you receive medical care in a year?,Needs Analysis,3,3,1.0
Do you need any dental work done this year?,Needs Analysis,3,3,1.0
What medications are you taking?,Needs Analysis,3,3,1.0
Do you receive any additional medical coverage?,Needs Analysis,3,3,1.0
What medications are you currently taking?,Needs Analysis,3,3,1.0
Do you have any heart or diabetes issues?,Needs Analysis,3,3,1.0
Were you looking to increase your benefits or save some money?,Needs Analysis,3,2,0.666666667
"If there was a benefit that you could improve or increase, what benefit would that be?",Needs Analysis,3,2,0.666666667
What benefits are you looking to improve?,Needs Analysis,3,2,0.666666667
Are you currently taking medications?,Needs Analysis,3,2,0.666666667
How are your teeth?,Needs Analysis,3,2,0.666666667
Do you need any dental work?,Needs Analysis,3,2,0.666666667
Is there anything that you need right now?,Needs Analysis,3,2,0.666666667
Have you recently lost or are losing any employer union or COBRA coverage?,Needs Analysis,3,2,0.666666667
What kind of benefits are most important to you?,Needs Analysis,3,2,0.666666667
How many doctors are you seeing right now?,Needs Analysis,3,2,0.666666667
"For your current insurance, do you have any coverage through a employer, union, TRICARE, or the VA?",Needs Analysis,3,2,0.666666667
Do you have any upcoming medical or dental procedures coming up for this year?,Needs Analysis,3,2,0.666666667
What's the one main thing you like about that plan?,Needs Analysis,3,2,0.666666667
Do you or a spouse receive any medical benefits from a current or former employer or union group?,Needs Analysis,3,2,0.666666667
How many doctors are you seeing right now throughout the year?,Needs Analysis,3,2,0.666666667
What's the one main thing that you like about it right now?,Needs Analysis,3,1,0.333333333
Have you had any recent hospital stays or anything like that?,Needs Analysis,3,1,0.333333333
Did you need to have any dental work done?,Needs Analysis,3,1,0.333333333
"Do you have any coverage right now through, like, an employer, union, military, anything like that?",Needs Analysis,3,1,0.333333333
How much money do you get for groceries and utility bills?,Needs Analysis,3,1,0.333333333
"Do you make your own health care decisions, or does somebody do that for you?",Needs Analysis,3,1,0.333333333
Did you need transportation to get to your doctor's appointments?,Needs Analysis,3,1,0.333333333
"Do you have, like, any issues with diabetes or any issues with your heart at all?",Needs Analysis,3,1,0.333333333
How often do you visit your doctors or specialists?,Needs Analysis,3,1,0.333333333
How's that plan been treating you so far?,Needs Analysis,3,1,0.333333333
What's the one main thing that you're looking for in a plan?,Needs Analysis,3,1,0.333333333
"Do you currently receive any military benefits like VA, TRICARE, or CHAMPVA?",Needs Analysis,3,1,0.333333333
Do you receive any additional medical coverage through a former employer?,Needs Analysis,3,0,0.0
"With your current coverage, what benefits do you use the most?",Needs Analysis,3,0,0.0
Do you currently have a Medicare Advantage Plan?,Needs Analysis,3,0,0.0
How much are you paying for specialist right now?,Needs Analysis,3,0,0.0
What benefits would you say are most important to you for this year?,Needs Analysis,3,0,0.0
Do you currently have your Medicare card with you right now?,Needs Analysis,3,0,0.0
"Do you or a spouse, if you have one, receive any medical benefits from a current or a former employer or union group?",Needs Analysis,3,0,0.0
"Do you live in a nursing home, long term care facility, or assisted living?",Needs Analysis,3,0,0.0
Are you looking for specific benefits?,Needs Analysis,3,0,0.0
What is the benefit that are most important to you right now?,Needs Analysis,3,0,0.0
Would anything like that apply to you by any chance?,Needs Analysis,2,2,1.0
Are there any additional doctors that you're seeing?,Needs Analysis,2,2,1.0
"Do you have any chronic conditions like cardiovascular disorder, heart failure, or diabetes?",Needs Analysis,2,2,1.0
Is that okay?,Needs Analysis,2,2,1.0
"Are any of those medications for the following conditions, diabetes, severe heart, lung, or kidney issues?",Needs Analysis,2,2,1.0
What is the name of your primary care doctor?,Needs Analysis,2,2,1.0
What pharmacy do you like to go to?,Needs Analysis,2,2,1.0
What is the name of your primary care physician?,Needs Analysis,2,2,1.0
Do you have any chronic conditions to speak of?,Needs Analysis,2,2,1.0
Do you have anything scheduled or upcoming this year?,Needs Analysis,2,2,1.0
What are the most important things?,Needs Analysis,2,2,1.0
Do you have Medicare and Medicaid?,Needs Analysis,2,2,1.0
"Do you see the doctors often, ma'am?",Needs Analysis,2,2,1.0
Do you go to the doctors often?,Needs Analysis,2,2,1.0
What other benefits are important to you?,Needs Analysis,2,2,1.0
What do you like about it?,Needs Analysis,2,2,1.0
Is that the most important benefit that you're looking for?,Needs Analysis,2,2,1.0
"Do you currently reside in any kind of nursing home, assisted living, or long term care facility?",Needs Analysis,2,2,1.0
Do you have any prescriptions you'd like me to look up real quick?,Needs Analysis,2,2,1.0
What kind of dental coverage do you need?,Needs Analysis,2,2,1.0
What's the main benefit that you're looking for in a plan?,Needs Analysis,2,2,1.0
Do you need hearing aids?,Needs Analysis,2,2,1.0
Do you currently take any medications?,Needs Analysis,2,2,1.0
Do you see yourself needing any dental work coming up?,Needs Analysis,2,2,1.0
Are you currently taking any medications currently?,Needs Analysis,2,2,1.0
Were there any benefits in particular you wanted me to look for?,Needs Analysis,2,2,1.0
Who is your primary care doctor?,Needs Analysis,2,2,1.0
What are you looking for?,Needs Analysis,2,2,1.0
What is your primary care doctor's name?,Needs Analysis,2,2,1.0
What's the one main thing you like about it?,Needs Analysis,2,2,1.0
Do you need to get any dental work done this year?,Needs Analysis,2,2,1.0
How much are they giving you?,Needs Analysis,2,2,1.0
What medications do you take?,Needs Analysis,2,2,1.0
What's important to you plan wise?,Needs Analysis,2,2,1.0
"Do you have any coverage right now through, like, an old employer, union, military, anything like that?",Needs Analysis,2,2,1.0
What do you need?,Needs Analysis,2,2,1.0
Do you need any dental coverage?,Needs Analysis,2,2,1.0
Could you tell me which benefits are most important to you?,Needs Analysis,2,2,1.0
"Do you have your red, white, and blue card?",Needs Analysis,2,2,1.0
Do you have any issues with diabetes or any issues with your heart?,Needs Analysis,2,2,1.0
Do you take much in the way of medications?,Needs Analysis,2,2,1.0
Do you have a primary care doctor that we need to look up to make sure that they would be in network?,Needs Analysis,2,2,1.0
Do you have any other doctor?,Needs Analysis,2,2,1.0
"Who is your primary care doctor, ma'am?",Needs Analysis,2,2,1.0
Do you wish to specify a primary care physician now?,Needs Analysis,2,2,1.0
"Do you take any insulins or inhalers, anything like that?",Needs Analysis,2,2,1.0
Do you have any upcoming surgery scheduled?,Needs Analysis,2,2,1.0
How many times do you see the specialist doctor?,Needs Analysis,2,2,1.0
"Do you have any coverage through, like, an old employer, union, military, anything like that?",Needs Analysis,2,2,1.0
Do you know if you might be eligible for state Medicaid or extra help?,Needs Analysis,2,1,0.5
Do you have any specific health care needs that we should consider?,Needs Analysis,2,1,0.5
Which benefits are most important to you for this year?,Needs Analysis,2,1,0.5
How many specialist doctors are you seeing right now?,Needs Analysis,2,1,0.5
Is dental very important to you?,Needs Analysis,2,1,0.5
What kind of medicine you're taking?,Needs Analysis,2,1,0.5
Have you had any recent hospital stays or anything?,Needs Analysis,2,1,0.5
"Do you have, like, any issues with, like, diabetes or any issues with your heart?",Needs Analysis,2,1,0.5
Are we looking at benefits for only you today or for maybe another friend or family?,Needs Analysis,2,1,0.5
What's important to you?,Needs Analysis,2,1,0.5
"Do you receive any benefit from the employer, union, TRICARE, or VA now?",Needs Analysis,2,1,0.5
"Are you currently residing in a nursing home, assisted living, or long term care facility?",Needs Analysis,2,1,0.5
What health insurance do you have right now?,Needs Analysis,2,1,0.5
Are there any hospitals you wanna check on for network participation?,Needs Analysis,2,1,0.5
Do you plan on moving anytime soon?,Needs Analysis,2,1,0.5
Would you say you have a lot of doctor office visits?,Needs Analysis,2,1,0.5
What do you have going on?,Needs Analysis,2,1,0.5
Do you have state Medicaid as well?,Needs Analysis,2,1,0.5
I do just wanna verify your Medicare information.,Needs Analysis,2,1,0.5
"Do you usually make your own health care decisions, or do you have someone to help you?",Needs Analysis,2,1,0.5
"Do you currently live in a nursing home, assisted living, or long term care facility?",Needs Analysis,2,1,0.5
What health benefit do you use the most?,Needs Analysis,2,1,0.5
Tell me a little bit about what you currently have.,Needs Analysis,2,1,0.5
"If there was a benefit that you could improve or increase, what would that be?",Needs Analysis,2,1,0.5
Do you have any benefits through TRICARE or the VA or anything?,Needs Analysis,2,1,0.5
Are you seeing a lot of doctors right now?,Needs Analysis,2,1,0.5
"Do you currently stay in a nursing home, assisted living, or long term care facility?",Needs Analysis,2,1,0.5
Tell me how's that plan been working out for you?,Needs Analysis,2,1,0.5
"Would you happen to have any military benefits like TRICARE For Life, CHAMPVA, or VA benefits?",Needs Analysis,2,1,0.5
What benefits are most important to you for this year?,Needs Analysis,2,1,0.5
Do you take any prescription drugs?,Needs Analysis,2,1,0.5
Do you make your own health care decisions currently?,Needs Analysis,2,1,0.5
Do you make your own healthcare decisions?,Needs Analysis,2,1,0.5
Is it okay for Mayberry Advisors to call and text you?,Needs Analysis,2,1,0.5
Do you have any upcoming dental procedures?,Needs Analysis,2,1,0.5
Tell me a little bit about how you currently use your coverage.,Needs Analysis,2,1,0.5
What benefits were you looking to improve?,Needs Analysis,2,1,0.5
What's the one main thing you like about your United plan?,Needs Analysis,2,1,0.5
What are some of the important benefits that you're using with your Medicare?,Needs Analysis,2,1,0.5
What about your vision?,Needs Analysis,2,1,0.5
What is important to you?,Needs Analysis,2,1,0.5
What are you needing in a plan?,Needs Analysis,2,1,0.5
Do you know the names of the medications that you're taking?,Needs Analysis,2,1,0.5
Are you seeing a lot of specialist doctors right now?,Needs Analysis,2,1,0.5
What has you interested in looking into your different options today?,Needs Analysis,2,1,0.5
Are you taking any medicine?,Needs Analysis,2,1,0.5
Do any of those apply to you?,Needs Analysis,2,1,0.5
"Do you also have any other coverage through a employer, union, TRICARE, or the VA?",Needs Analysis,2,1,0.5
Do you currently wear glasses?,Needs Analysis,2,1,0.5
What is most important to you?,Needs Analysis,2,1,0.5
Do you also have Medicaid?,Needs Analysis,2,0,0.0
What has you looking into your options today?,Needs Analysis,2,0,0.0
"Do you get help with, like, food and groceries right now?",Needs Analysis,2,0,0.0
Are we looking for any specific additional benefits?,Needs Analysis,2,0,0.0
Is it okay for Mayberry advisers to call or text you?,Needs Analysis,2,0,0.0
Tell me a little bit about what's important to you in your health care coverage.,Needs Analysis,2,0,0.0
What are your current healthcare needs?,Needs Analysis,2,0,0.0
Did you need to have any dental work done this year?,Needs Analysis,2,0,0.0
Do you have any other specific health care needs that we should consider?,Needs Analysis,2,0,0.0
Are you looking to learn more about the Medicare Advantage Plans?,Needs Analysis,2,0,0.0
What benefit do you use the most with your current coverage?,Needs Analysis,2,0,0.0
Are there any benefits that you would like to improve or increase?,Needs Analysis,2,0,0.0
How often do you go to see your doctors or specialists?,Needs Analysis,2,0,0.0
Do you have any current healthcare concerns?,Needs Analysis,2,0,0.0
Have you applied for Medicaid?,Needs Analysis,2,0,0.0
Do any of those two apply to you?,Needs Analysis,2,0,0.0
Would anything like that apply to you?,Needs Analysis,2,0,0.0
Are there any benefits that you think would be more beneficial?,Needs Analysis,2,0,0.0
What benefits are gonna be most important to you?,Needs Analysis,2,0,0.0
"Do you make your own health care decisions, or do you have a power of attorney?",Needs Analysis,2,0,0.0
What do you have?,Needs Analysis,2,0,0.0
"Do you currently have any military benefits like VA, TRICARE, or CHAMPVA?",Needs Analysis,2,0,0.0
What's the one main thing you like about it right now?,Needs Analysis,2,0,0.0
Do you or a spouse receive any medical benefits from a current or former employer?,Needs Analysis,2,0,0.0
Do you have any health care decisions?,Needs Analysis,2,0,0.0
Do you have any dental work?,Needs Analysis,2,0,0.0
"Are you currently taking any medications, ma'am?",Needs Analysis,2,0,0.0
Which benefits are most important to you?,Needs Analysis,2,0,0.0
Do you have any upcoming medical procedures?,Needs Analysis,2,0,0.0
"Do you currently reside at a nursing home, assisted living, or long term care facility?",Needs Analysis,2,0,0.0
Were you looking today to increase your benefits or save some money?,Needs Analysis,2,0,0.0
How often do you see your doctor?,Needs Analysis,2,0,0.0
Do you have Medicaid?,Needs Analysis,2,0,0.0
What benefits would you like to improve for the rest of this year?,Needs Analysis,2,0,0.0
How can I help you today?,Needs Analysis,2,0,0.0
What is the benefit that are most important to you?,Needs Analysis,2,0,0.0
Are there any specific procedures you need covered soon?,Needs Analysis,2,0,0.0
Were you ever diagnosed with diabetes or chronic heart condition?,Needs Analysis,2,0,0.0
Are there any particular services you want covered?,Needs Analysis,2,0,0.0
What's the one main thing that you like about that plan?,Needs Analysis,2,0,0.0
Like a diabetes or heart disease?,Needs Analysis,2,0,0.0
Have you ever applied for Medicaid?,Needs Analysis,2,0,0.0
"Do you currently reside in a nursing home, assisted living, or long term care facilities?",Needs Analysis,2,0,0.0
What benefits are important to you?,Needs Analysis,2,0,0.0
Are you currently seeing any specialist at the moment?,Needs Analysis,1,1,1.0
What do I need to do to make this right?,Needs Analysis,1,1,1.0
"Are you also actively seeing any specialists, or is it just the primary care physician that you currently see?",Needs Analysis,1,1,1.0
Do you have a letter from Social Security showing your extra help status?,Needs Analysis,1,1,1.0
"Is she like a primary care she's, like, a a nurse practitioner, though?",Needs Analysis,1,1,1.0
What does it say about your prescription on there?,Needs Analysis,1,1,1.0
"Do you have a, let's say, diabetes or a heart condition, anything like that?",Needs Analysis,1,1,1.0
Do you or a spouse receive medical benefits from an employer or union?,Needs Analysis,1,1,1.0
"Is your income above 2,400 a month or less than that?",Needs Analysis,1,1,1.0
Are you having to pay co pays when you go to see your doctor or your specialist?,Needs Analysis,1,1,1.0
Have you been diagnosed with congestive heart failure?,Needs Analysis,1,1,1.0
About how much do you estimate that you're currently receiving per month?,Needs Analysis,1,1,1.0
Do you know how much you're getting every month for the grocery benefits?,Needs Analysis,1,1,1.0
What's the one main benefit that you're looking for in a plan?,Needs Analysis,1,1,1.0
What is the benefits that are most important to you?,Needs Analysis,1,1,1.0
What kind of dental work?,Needs Analysis,1,1,1.0
"Do you have any chronic conditions, like diabetes, cardiovascular disorders?",Needs Analysis,1,1,1.0
What are some of the main things that you like about it?,Needs Analysis,1,1,1.0
Are you still at one six one two six Baisley Boulevard?,Needs Analysis,1,1,1.0
How is your health?,Needs Analysis,1,1,1.0
How often are you seeing him right now?,Needs Analysis,1,1,1.0
"Do you take any insulin or inhalers, anything like that?",Needs Analysis,1,1,1.0
Do you see specialist doctors right now?,Needs Analysis,1,1,1.0
How many medicines do you go to the Walmart?,Needs Analysis,1,1,1.0
What benefit is that? What is that benefit for?,Needs Analysis,1,1,1.0
How often do you have to see your specialist doctors?,Needs Analysis,1,1,1.0
Are you having any issues with your medications?,Needs Analysis,1,1,1.0
How are the co pays when you're going to see the specialist right now?,Needs Analysis,1,1,1.0
Did you go back to reapply for Medicaid?,Needs Analysis,1,1,1.0
What kind of benefits were you looking for with your plan?,Needs Analysis,1,1,1.0
What are some things you like about your current UnitedHealthcare plan?,Needs Analysis,1,1,1.0
"Have you recently had to stay in any type of, like, rehab or nursing facility or anything?",Needs Analysis,1,1,1.0
Tell me a little bit about your current plan and how it's been working for you.,Needs Analysis,1,1,1.0
Is there anything that you're gonna need this year?,Needs Analysis,1,1,1.0
What do you wanna make sure your plan has this year?,Needs Analysis,1,1,1.0
Did that go up or go down this year?,Needs Analysis,1,1,1.0
Do you have any more extractions that need to be done?,Needs Analysis,1,1,1.0
Do you have a pharmacy you like to use right now?,Needs Analysis,1,1,1.0
Are you taking any prescription drugs?,Needs Analysis,1,1,1.0
"If there were any benefits that you could improve or increase, what benefits would that be?",Needs Analysis,1,1,1.0
"Is there any, like, specific benefits that you think that you might use?",Needs Analysis,1,1,1.0
Are you using the benefits?,Needs Analysis,1,1,1.0
What else does that cover?,Needs Analysis,1,1,1.0
"Is it dental, vision, or or what?",Needs Analysis,1,1,1.0
Are you paying anything for when you have to go see a specialist doctor?,Needs Analysis,1,1,1.0
"You told me you want low co payments, and you want groceries or cashback.",Needs Analysis,1,1,1.0
"Do you use any of the benefits dental, vision, hearing?",Needs Analysis,1,1,1.0
"Do you see him often, rarely, occasionally, or frequently?",Needs Analysis,1,1,1.0
"Have you had any issues with any of them, any of them not covered?",Needs Analysis,1,1,1.0
Do you think that this plan will be a better fit for you?,Needs Analysis,1,1,1.0
Do you happen to have your Medicaid number?,Needs Analysis,1,1,1.0
Did it say okay?,Needs Analysis,1,1,1.0
Do you currently need transportation in your plan to help get to and from doctor's appointments?,Needs Analysis,1,1,1.0
How much do you pay for a specialist doctor right now if you had to go?,Needs Analysis,1,1,1.0
Did you know that you get $205 a month for groceries and utility bills?,Needs Analysis,1,1,1.0
How much are you getting in food stamps now?,Needs Analysis,1,1,1.0
Do you see Alex Jackson?,Needs Analysis,1,1,1.0
How much do you typically pay for your medications?,Needs Analysis,1,1,1.0
Do you currently have any employer retirement coverage for medical?,Needs Analysis,1,1,1.0
What are the most important things plan wise?,Needs Analysis,1,1,1.0
Do you see a lot of different doctors?,Needs Analysis,1,1,1.0
How often are you treating that?,Needs Analysis,1,1,1.0
Is that something that you can use maybe a little bit more of?,Needs Analysis,1,1,1.0
Are you seeing that many doctors?,Needs Analysis,1,1,1.0
What do you need covered soon?,Needs Analysis,1,1,1.0
What benefits are you looking for?,Needs Analysis,1,1,1.0
"Is there anything more that you were looking for as far as, like, the dental, the vision, and the hearing at all?",Needs Analysis,1,1,1.0
Do you have a Medicare Advantage Plan in place?,Needs Analysis,1,1,1.0
"Do you have a family doctor, specialist doctor, dentist, hospital, medical facility you want me to check the network for you?",Needs Analysis,1,1,1.0
Are you on the Humana chronic special needs plan out there?,Needs Analysis,1,1,1.0
Do you have co-pays for things when you go to the doctor or the specialist?,Needs Analysis,1,1,1.0
Do you need any dental this year?,Needs Analysis,1,1,1.0
"Do you take a lot of prescription meds, ma'am?",Needs Analysis,1,1,1.0
Did your doctor say anything about your coverage?,Needs Analysis,1,1,1.0
Is there any other doctors that you have?,Needs Analysis,1,1,1.0
What is his name?,Needs Analysis,1,1,1.0
Do you have a lot of dental or vision that needs to be taken care of in the new year?,Needs Analysis,1,1,1.0
Do you have a smartphone?,Needs Analysis,1,1,1.0
Are you seeing just your primary physician currently just for checkups once or twice a year?,Needs Analysis,1,1,1.0
Do you know if you have a PPO or an HMO?,Needs Analysis,1,1,1.0
Do you have any preference?,Needs Analysis,1,1,1.0
Has anyone ever talked to you about the plans that put extra money in your Social Security check?,Needs Analysis,1,1,1.0
"When you go to a hospital or a doctor, do you typically have to pay co pays?",Needs Analysis,1,1,1.0
Any issues with the heart or any chronic conditions that you have?,Needs Analysis,1,1,1.0
Are there any hospitals that you would like me to check for network participation?,Needs Analysis,1,1,1.0
How much do you pay out of pocket for doctor visits?,Needs Analysis,1,1,1.0
Do you know why they put you on the losartan?,Needs Analysis,1,1,1.0
Do you happen to have any chronic health conditions?,Needs Analysis,1,1,1.0
If they're not giving you enough information because if you have a situation...,Needs Analysis,1,1,1.0
Did you recently lose your job?,Needs Analysis,1,1,1.0
"Do you also have any other coverage through, employer, union, TRICARE, or the VA?",Needs Analysis,1,1,1.0
What was the good plan because but I did pay almost $300 a month?,Needs Analysis,1,1,1.0
"Do you have any chronic conditions, ma'am?",Needs Analysis,1,1,1.0
Would that be helpful to you if it was in your plan?,Needs Analysis,1,1,1.0
"What about over the counter products like, daily vitamins and ointments?",Needs Analysis,1,1,1.0
Are you paying separately for that?,Needs Analysis,1,1,1.0
What is it that you're looking for?,Needs Analysis,1,1,1.0
What kind of dental work are we thinking?,Needs Analysis,1,1,1.0
What kind of benefits do you have?,Needs Analysis,1,1,1.0
Do you have a primary care doctor right now?,Needs Analysis,1,1,1.0
Do you have any chronic health conditions such as diabetes or any heart or lung conditions?,Needs Analysis,1,1,1.0
Do you see a primary doctor currently?,Needs Analysis,1,1,1.0
Are you getting a food card or any money for food or over the counter utility bills?,Needs Analysis,1,1,1.0
"How often are you seeing, like, your primary doctor?",Needs Analysis,1,1,1.0
"What's important? Like, is it medical cost or co-pays?",Needs Analysis,1,1,1.0
What is it today you're trying to improve upon?,Needs Analysis,1,1,1.0
"Do you think you're gonna be needing to use anything this year, like any dental work?",Needs Analysis,1,1,1.0
"Are you both on the same plan, or do you know?",Needs Analysis,1,1,1.0
"Do you see the doctors often, Russell?",Needs Analysis,1,1,1.0
"Did you have any specific questions, miss Sheree or anything while we were waiting?",Needs Analysis,1,1,1.0
Does she have to have those?,Needs Analysis,1,1,1.0
"What all do you need done for dental, out of curiosity?",Needs Analysis,1,1,1.0
Is there a dental that you have upcoming for this year?,Needs Analysis,1,1,1.0
Do you see a cardiologist?,Needs Analysis,1,1,1.0
"Do you currently have any coverage through employer, union, TRICARE, or the VA?",Needs Analysis,1,1,1.0
Do you have any heart conditions?,Needs Analysis,1,1,1.0
Did you just start receiving Medicaid?,Needs Analysis,1,1,1.0
What type of dental?,Needs Analysis,1,1,1.0
Do you go to the doctors often or just very seldom?,Needs Analysis,1,1,1.0
Will you have any other medical insurance other than the Medicare or Medicaid?,Needs Analysis,1,1,1.0
What health insurance that you have right now?,Needs Analysis,1,1,1.0
"What you know, like, I'm not complaining because I don't know what I'm supposed to get?",Needs Analysis,1,1,1.0
Do you have your plastic navy blue with a white bottom called the New York Medicaid card?,Needs Analysis,1,1,1.0
